	real	30	60	100	150	200	250	300
PF00034	0.424	0.460	0.515	0.455	0.443	0.433	0.429	0.432
PF00115	0.389	0.555	0.386	0.378	0.391	0.389	0.389	0.389
PF00116	0.460	0.645	0.544	0.479	0.467	0.466	0.469	0.475
PF00120	0.093	0.146	0.113	0.091	0.096	0.093	0.093	0.093
PF00142	0.094	0.733	0.238	0.215	0.226	0.200	0.102	0.100
PF00146	0.236	0.277	0.239	0.240	0.243	0.235	0.235	0.247
PF00148	0.954	1.080	0.974	0.977	0.973	0.975	0.973	0.954
PF00173	-0.029	0.009	-0.023	-0.026	-0.026	-0.028	-0.028	-0.028
PF00174	0.523	0.520	0.518	0.526	0.525	0.524	0.524	0.524
PF00175	0.213	0.138	0.317	0.219	0.189	0.208	0.200	0.213
PF00202	0.124	0.133	0.128	0.126	0.126	0.126	0.127	0.124
PF00205	0.180	0.208	0.206	0.180	0.181	0.181	0.179	0.179
PF00208	0.054	0.006	-0.010	-0.016	-0.023	-0.025	0.004	0.013
PF00310	0.252	0.428	0.323	0.245	0.275	0.245	0.228	0.258
PF00329	0.253	0.329	0.276	0.249	0.259	0.254	0.254	0.253
PF00346	0.235	0.276	0.240	0.236	0.237	0.237	0.235	0.235
PF00355	0.493	0.588	0.517	0.516	0.515	0.508	0.514	0.504
PF00361	0.253	0.252	0.255	0.253	0.253	0.254	0.253	0.253
PF00384	0.243	0.244	0.282	0.266	0.251	0.248	0.245	0.242
PF00420	0.281	0.350	0.282	0.280	0.280	0.281	0.281	0.281
PF00499	0.371	0.511	0.388	0.374	0.371	0.371	0.371	0.371
PF00507	0.355	0.382	0.362	0.355	0.355	0.355	0.355	0.355
PF00662	0.320	0.249	0.326	0.288	0.325	0.283	0.325	0.298
PF00890	0.000	0.089	0.027	0.019	0.016	0.018	0.008	0.003
PF00970	0.285	-0.038	0.229	0.249	0.257	0.279	0.290	0.281
PF01035	0.083	0.079	0.090	0.087	0.086	0.083	0.083	0.083
PF01058	0.249	0.297	0.240	0.249	0.249	0.249	0.249	0.250
PF01077	0.480	0.417	0.487	0.487	0.485	0.483	0.483	0.480
PF01257	0.338	0.163	0.313	0.351	0.341	0.337	0.338	0.337
PF01266	0.028	0.391	0.176	0.118	0.069	0.045	0.034	0.034
PF01292	0.353	0.224	0.237	0.195	0.246	0.353	0.351	0.353
PF01493	0.289	0.214	0.155	0.305	0.191	0.264	0.242	0.268
PF01512	0.041	0.100	0.060	0.049	0.044	0.040	0.041	0.041
PF01515	-0.306	-0.289	-0.304	-0.310	-0.299	-0.287	-0.304	-0.308
PF01568	0.254	0.171	0.278	0.203	0.237	0.220	0.243	0.224
PF01645	0.124	0.315	0.148	0.099	0.058	0.076	0.096	0.108
PF02239	0.359	0.079	0.163	0.241	0.229	0.317	0.362	0.385
PF02335	-0.066	-0.042	-0.053	-0.062	-0.056	-0.062	-0.058	-0.052
PF02461	0.315	0.315	0.315	0.315	0.315	0.315	0.315	0.315
PF02665	-0.011	0.003	-0.041	-0.001	0.012	0.000	0.003	0.004
PF02668	0.275	0.319	0.303	0.288	0.283	0.279	0.275	0.275
PF02754	0.407	0.047	0.449	0.431	0.419	0.410	0.407	0.407
PF02775	0.033	0.177	0.120	0.056	0.029	0.026	0.027	0.028
PF02776	0.142	0.196	0.169	0.165	0.137	0.146	0.145	0.142
PF02812	-0.001	0.010	-0.007	0.007	0.001	-0.002	-0.002	-0.002
PF03139	0.260	0.259	0.260	0.260	0.260	0.260	0.260	0.260
PF03264	0.310	0.420	0.315	0.319	0.325	0.316	0.319	0.332
PF03404	0.333	0.096	0.306	0.374	0.374	0.372	0.352	0.352
PF03460	0.475	0.547	0.482	0.489	0.478	0.478	0.475	0.476
PF03892	0.178	0.192	0.179	0.178	0.177	0.176	0.174	0.174
PF03951	0.128	0.030	0.127	0.165	0.176	0.163	0.154	0.116
PF04324	0.325	0.299	0.326	0.357	0.350	0.328	0.338	0.333
PF04744	0.421	0.344	0.431	0.424	0.417	0.417	0.405	0.405
PF04879	0.301	0.162	0.204	0.155	0.204	0.288	0.239	0.259
PF04896	0.431	0.315	0.402	0.424	0.424	0.424	0.424	0.424
PF04898	0.297	0.340	0.309	0.293	0.273	0.301	0.297	0.300
PF07085	-0.079	0.095	-0.002	-0.064	-0.065	-0.079	-0.080	-0.080
PF07732	0.412	0.309	0.456	0.424	0.417	0.429	0.410	0.410
PF07992	0.000	0.064	0.000	0.000	0.000	0.000	0.000	0.000
PF09163	-0.015	-0.007	-0.029	-0.032	-0.011	-0.006	0.004	-0.015
PF10531	-0.062	-0.004	0.005	-0.066	-0.058	-0.061	-0.068	-0.066
PF10588	0.145	0.120	0.221	0.146	0.195	0.178	0.157	0.143
PF10589	0.147	0.167	0.162	0.147	0.130	0.152	0.139	0.147
PF11844	1.455	0.755	0.958	0.646	0.812	1.042	1.059	1.292
PF12437	-0.074	-0.060	-0.067	-0.071	-0.070	-0.072	-0.072	-0.073
PF12680	0.410	0.051	0.372	0.417	0.411	0.414	0.411	0.412
PF12800	0.240	0.260	0.233	0.191	0.166	0.205	0.228	0.212
PF12801	0.077	0.070	0.058	0.076	0.082	0.074	0.070	0.074
PF12838	0.122	0.153	0.136	0.120	0.116	0.124	0.122	0.123
PF13183	0.124	0.085	0.178	0.139	0.126	0.123	0.122	0.119
PF13237	0.107	0.129	0.160	0.119	0.110	0.107	0.107	0.105
PF13247	-0.049	-0.037	-0.005	-0.037	-0.046	-0.088	-0.067	-0.047
PF13435	0.133	0.120	0.156	0.101	0.115	0.104	0.136	0.119
PF13442	0.508	0.387	0.595	0.534	0.523	0.514	0.514	0.508
PF13447	0.132	0.199	0.144	0.134	0.130	0.130	0.130	0.129
PF13500	0.271	0.030	0.103	0.283	0.293	0.281	0.274	0.275
PF13510	0.136	0.225	0.255	0.242	0.284	0.285	0.219	0.223
PF14691	0.106	0.031	0.145	0.146	0.127	0.200	0.200	0.162
PF14710	0.054	0.046	0.033	0.014	0.058	0.030	0.047	-0.007
PF14711	0.007	0.046	-0.028	0.020	0.009	0.009	0.008	0.007
PF16694	0.434	0.179	0.454	0.441	0.434	0.432	0.430	0.436
PF16901	0.073	-0.019	0.012	0.132	0.013	0.086	0.112	0.119
